Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
1201-04-,Adams,United States,US-Washington,46.206,-121.49,3742,Stratovolcano,Tephrochronology,D6
0804-16=,Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965,Stratovolcano,Historical,D2
0804-141,Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137,Submarine volcano,Uncertain,U
1101-32-,Akutan,United States,Aleutian Is,54.13,-165.97,1303,Stratovolcano,Historical,D1
0804-18=,Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744,Stratovolcano,Radiocarbon,D6
1101-39-,Amak,United States,Aleutian Is,55.42,-163.15,513,Stratovolcano,Historical,D4
1203-20-,Amboy,United States,US-California,34.55,-115.78,288,Cinder cone,Holocene,U
1101-19-,Amukta,United States,Aleutian Is,52.5,-171.25,1066,Stratovolcano,Historical,D1
0804-20=,Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,788,Stratovolcano,Holocene,U
1102-09-,Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341,Caldera,Historical,D2
0804-15=,Asuncion,United States,Mariana Is-C Pacific,19.67,145.4,857,Stratovolcano,Historical,D2
1101-16-,Atka,United States,Aleutian Is,52.38,-174.15,1533,Stratovolcano,Historical,D1
1103-01-,Augustine,United States,Alaska-SW,59.37,-153.42,1252,Lava dome,Historical,D1
1202-09-,Bachelor,United States,US-Oregon,43.979,-121.688,2763,Stratovolcano,Tephrochronology,D7
1201-01=,Baker,United States,US-Washington,48.786,-121.82,3285,Stratovolcano,Historical,D3
1207-03-,Bald Knoll,United States,US-Utah,37.328,-112.408,2135,Cinder cone,Holocene,Unknown
0500-02-,Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254,Stratovolcano,Holocene,U
1105-07-,Behm Canal-Rudyerd Bay,United States,Alaska-SE,55.32,-131.05,500,Cinder cone,Holocene,Unknown
1202-06-,Belknap,United States,US-Oregon,44.285,-121.841,2095,Shield volcano,Radiocarbon,D6
1203-04-,Big Cave,United States,US-California,40.955,-121.365,1259,Shield volcano,Holocene,Unknown
1102-08-,Black Peak,United States,Alaska Peninsula,56.53,-158.8,1032,Stratovolcano,Radiocarbon,D7
1207-05-,Black Rock Desert,United States,US-Utah,38.97,-112.5,1800,Volcanic field,Radiocarbon,D6
1202-03-,Blue Lake Crater,United States,US-Oregon,44.42,-121.77,1230,Maar,Radiocarbon,D7
1101-10-,Bobrof,United States,Aleutian Is,51.9,-177.43,738,Stratovolcano,Holocene,Unknown
1101-30-,Bogoslof,United States,Aleutian Is,53.93,-168.03,101,Submarine volcano,Historical,D1
1105-03-,Bona-Churchill,United States,Alaska-E,61.38,-141.75,5005,Stratovolcano,Radiocarbon,D6
1203-03-,Brushy Butte,United States,US-California,41.178,-121.443,1174,Shield volcano,Holocene,Unknown
1101-01-,Buldir,United States,Aleutian Is,52.37,175.98,656,Stratovolcano,Holocene,U
1105-001,Buzzard Creek,United States,Alaska-E,64.07,-148.42,830,Tuff rings,Radiocarbon,D7
1101-23-,Carlisle,United States,Aleutian Is,52.9,-170.05,1620,Stratovolcano,Historical,D3
1210-01-,Carrizozo,United States,US-New Mexico,33.78,-105.93,1731,Cinder cone,Holocene,U
1101-20-,Chagulak,United States,Aleutian Is,52.57,-171.13,1142,Stratovolcano,Holocene,U
