Conference,latitude,Team,longitude
AFC,36.166461,Titans,-86.771289
NFC,40.812194,Giants,-74.076983
AFC,40.446786,Steelers,-80.015761
NFC,35.225808,Panthers,-80.852861
AFC,39.277969,Ravens,-76.622767
NFC,27.975967,Buccaneers,-82.50335
AFC,39.760056,Colts,-86.163806
NFC,44.973881,Vikings,-93.258094
NFC,33.5277,Cardinals,-112.262608
NFC,32.747778,Cowboys,-97.092778
NFC,33.757614,Falcons,-84.400972
AFC,40.812194,Jets,-74.076983
AFC,39.743936,Broncos,-105.020097
AFC,25.957919,Dolphins,-80.238842
NFC,39.900775,Eagles,-75.167453
NFC,41.862306,Bears,-87.616672
AFC,42.090925,Patriots,-71.26435
NFC,38.907697,Redskins,-76.864517
NFC,44.501306,Packers,-88.062167
AFC,32.783117,Chargers,-117.119525
NFC,29.950931,Saints,-90.081364
AFC,29.684781,Texans,-95.410956
AFC,42.773739,Bills,-78.786978
NFC,37.713486,Forty-Niners,-122.386256
AFC,30.323925,Jaguars,-81.637356
AFC,41.506022,Browns,-81.699564
AFC,37.751411,Raiders,-122.200889
AFC,39.048914,Chiefs,-94.484039
NFC,38.632975,Rams,-90.188547
NFC,47.595153,Seahawks,-122.331625
AFC,39.095442,Bengals,-84.516039
NFC,42.340156,Lions,-83.045808
